Log started on 2020_10_23_163750
rodAllNodeLogger.,Simulation Setup:
limb_length,num_limbs,num_vert_per_limb
0.022,3,14,
Simulation Time,0_0_x,0_0_y,0_1_x,0_1_y,0_2_x,0_2_y,0_3_x,0_3_y,0_4_x,0_4_y,0_5_x,0_5_y,0_6_x,0_6_y,0_7_x,0_7_y,0_8_x,0_8_y,0_9_x,0_9_y,0_10_x,0_10_y,0_11_x,0_11_y,0_12_x,0_12_y,0_13_x,0_13_y,1_0_x,1_0_y,1_1_x,1_1_y,1_2_x,1_2_y,1_3_x,1_3_y,1_4_x,1_4_y,1_5_x,1_5_y,1_6_x,1_6_y,1_7_x,1_7_y,1_8_x,1_8_y,1_9_x,1_9_y,1_10_x,1_10_y,1_11_x,1_11_y,1_12_x,1_12_y,1_13_x,1_13_y,2_0_x,2_0_y,2_1_x,2_1_y,2_2_x,2_2_y,2_3_x,2_3_y,2_4_x,2_4_y,2_5_x,2_5_y,2_6_x,2_6_y,2_7_x,2_7_y,2_8_x,2_8_y,2_9_x,2_9_y,2_10_x,2_10_y,2_11_x,2_11_y,2_12_x,2_12_y,2_13_x,2_13_y,
0,-0.0110108,0.00681051,-0.0110108,0.00850282,-0.0110108,0.0101951,-0.0110108,0.0118874,-0.0110108,0.0135797,-0.0110108,0.0152721,-0.0110108,0.0169644,-0.0110108,0.0186567,-0.0110108,0.020349,-0.0110108,0.0220413,-0.0110108,0.0237336,-0.0110108,0.0254259,-0.0110108,0.0271182,-0.010432,0.0287085,-0.00931853,0.0288105,-0.00762622,0.0288105,-0.00593391,0.0288105,-0.0042416,0.0288105,-0.0025493,0.0288105,-0.000856989,0.0288105,0.000835319,0.0288105,0.00252763,0.0288105,0.00421993,0.0288105,0.00591224,0.0288105,0.00760455,0.0288105,0.00929686,0.0288105,0.0108871,0.0282317,0.0109892,0.0271182,0.0109892,0.0254259,0.0109892,0.0237336,0.0109892,0.0220413,0.0109892,0.020349,0.0109892,0.0186567,0.0109892,0.0169644,0.0109892,0.0152721,0.0109892,0.0135797,0.0109892,0.0118874,0.0109892,0.0101951,0.0109892,0.00850282,0.0109892,0.00681051,-0.0132108,0.003,-0.00881084,0.003,0.00878916,0.003,0.0131892,0.003
0.005,-0.0110108,0.0067492,-0.0110108,0.00844151,-0.0110108,0.0101338,-0.0110108,0.0118261,-0.0110108,0.0135184,-0.0110108,0.0152107,-0.0110108,0.016903,-0.0110108,0.0185954,-0.0110108,0.0202877,-0.0110108,0.02198,-0.0110108,0.0236723,-0.0110108,0.0253646,-0.0110108,0.0270569,-0.010432,0.0286471,-0.00931853,0.0287492,-0.00762622,0.0287492,-0.00593391,0.0287492,-0.0042416,0.0287492,-0.0025493,0.0287492,-0.000856989,0.0287492,0.000835319,0.0287492,0.00252763,0.0287492,0.00421993,0.0287492,0.00591224,0.0287492,0.00760455,0.0287492,0.00929686,0.0287492,0.0108871,0.0281704,0.0109892,0.0270569,0.0109892,0.0253646,0.0109892,0.0236723,0.0109892,0.02198,0.0109892,0.0202877,0.0109892,0.0185954,0.0109892,0.016903,0.0109892,0.0152107,0.0109892,0.0135184,0.0109892,0.0118261,0.0109892,0.0101338,0.0109892,0.00844151,0.0109892,0.0067492,-0.0132108,0.00293869,-0.00881084,0.00293869,0.00878916,0.00293869,0.0131892,0.00293869
0.01,-0.0110108,0.00656526,-0.0110108,0.00825757,-0.0110108,0.00994988,-0.0110108,0.0116422,-0.0110108,0.0133345,-0.0110108,0.0150268,-0.0110108,0.0167191,-0.0110108,0.0184114,-0.0110108,0.0201037,-0.0110108,0.021796,-0.0110108,0.0234883,-0.0110108,0.0251806,-0.0110108,0.026873,-0.010432,0.0284632,-0.00931853,0.0285653,-0.00762622,0.0285653,-0.00593391,0.0285653,-0.0042416,0.0285653,-0.0025493,0.0285653,-0.000856989,0.0285653,0.000835319,0.0285653,0.00252763,0.0285653,0.00421993,0.0285653,0.00591224,0.0285653,0.00760455,0.0285653,0.00929686,0.0285653,0.0108871,0.0279865,0.0109892,0.026873,0.0109892,0.0251806,0.0109892,0.0234883,0.0109892,0.021796,0.0109892,0.0201037,0.0109892,0.0184114,0.0109892,0.0167191,0.0109892,0.0150268,0.0109892,0.0133345,0.0109892,0.0116422,0.0109892,0.00994988,0.0109892,0.00825757,0.0109892,0.00656526,-0.0132108,0.00275475,-0.00881084,0.00275475,0.00878916,0.00275475,0.0131892,0.00275475
0.015,-0.0110108,0.0062587,-0.0110108,0.00795101,-0.0110108,0.00964331,-0.0110108,0.0113356,-0.0110108,0.0130279,-0.0110108,0.0147202,-0.0110108,0.0164125,-0.0110108,0.0181049,-0.0110108,0.0197972,-0.0110108,0.0214895,-0.0110108,0.0231818,-0.0110108,0.0248741,-0.0110108,0.0265664,-0.010432,0.0281566,-0.00931853,0.0282587,-0.00762622,0.0282587,-0.00593391,0.0282587,-0.0042416,0.0282587,-0.0025493,0.0282587,-0.000856989,0.0282587,0.000835319,0.0282587,0.00252763,0.0282587,0.00421993,0.0282587,0.00591224,0.0282587,0.00760455,0.0282587,0.00929686,0.0282587,0.0108871,0.0276799,0.0109892,0.0265664,0.0109892,0.0248741,0.0109892,0.0231818,0.0109892,0.0214895,0.0109892,0.0197972,0.0109892,0.0181049,0.0109892,0.0164125,0.0109892,0.0147202,0.0109892,0.0130279,0.0109892,0.0113356,0.0109892,0.00964331,0.0109892,0.00795101,0.0109892,0.0062587,-0.0132108,0.00244819,-0.00881084,0.00244819,0.00878916,0.00244819,0.0131892,0.00244819
0.02,-0.0110108,0.00582951,-0.0110108,0.00752182,-0.0110108,0.00921413,-0.0110108,0.0109064,-0.0110108,0.0125987,-0.0110108,0.0142911,-0.0110108,0.0159834,-0.0110108,0.0176757,-0.0110108,0.019368,-0.0110108,0.0210603,-0.0110108,0.0227526,-0.0110108,0.0244449,-0.0110108,0.0261372,-0.010432,0.0277275,-0.00931853,0.0278295,-0.00762622,0.0278295,-0.00593391,0.0278295,-0.0042416,0.0278295,-0.0025493,0.0278295,-0.000856989,0.0278295,0.000835319,0.0278295,0.00252763,0.0278295,0.00421993,0.0278295,0.00591224,0.0278295,0.00760455,0.0278295,0.00929686,0.0278295,0.0108871,0.0272507,0.0109892,0.0261372,0.0109892,0.0244449,0.0109892,0.0227526,0.0109892,0.0210603,0.0109892,0.019368,0.0109892,0.0176757,0.0109892,0.0159834,0.0109892,0.0142911,0.0109892,0.0125987,0.0109892,0.0109064,0.0109892,0.00921413,0.0109892,0.00752182,0.0109892,0.00582951,-0.0132108,0.002019,-0.00881084,0.002019,0.00878916,0.002019,0.0131892,0.002019
0.025,-0.0110108,0.0052777,-0.0110108,0.00697001,-0.0110108,0.00866231,-0.0110108,0.0103546,-0.0110108,0.0120469,-0.0110108,0.0137392,-0.0110108,0.0154315,-0.0110108,0.0171239,-0.0110108,0.0188162,-0.0110108,0.0205085,-0.0110108,0.0222008,-0.0110108,0.0238931,-0.0110108,0.0255854,-0.010432,0.0271756,-0.00931853,0.0272777,-0.00762622,0.0272777,-0.00593391,0.0272777,-0.0042416,0.0272777,-0.0025493,0.0272777,-0.000856989,0.0272777,0.000835319,0.0272777,0.00252763,0.0272777,0.00421993,0.0272777,0.00591224,0.0272777,0.00760455,0.0272777,0.00929686,0.0272777,0.0108871,0.0266989,0.0109892,0.0255854,0.0109892,0.0238931,0.0109892,0.0222008,0.0109892,0.0205085,0.0109892,0.0188162,0.0109892,0.0171239,0.0109892,0.0154315,0.0109892,0.0137392,0.0109892,0.0120469,0.0109892,0.0103546,0.0109892,0.00866231,0.0109892,0.00697001,0.0109892,0.0052777,-0.0132108,0.00146719,-0.00881084,0.00146719,0.00878916,0.00146719,0.0131892,0.00146719
0.03,-0.0110108,0.00460326,-0.0110108,0.00629557,-0.0110108,0.00798788,-0.0110108,0.00968018,-0.0110108,0.0113725,-0.0110108,0.0130648,-0.0110108,0.0147571,-0.0110108,0.0164494,-0.0110108,0.0181417,-0.0110108,0.019834,-0.0110108,0.0215263,-0.0110108,0.0232186,-0.0110108,0.024911,-0.010432,0.0265012,-0.00931853,0.0266033,-0.00762622,0.0266033,-0.00593391,0.0266033,-0.0042416,0.0266033,-0.0025493,0.0266033,-0.000856989,0.0266033,0.000835319,0.0266033,0.00252763,0.0266033,0.00421993,0.0266033,0.00591224,0.0266033,0.00760455,0.0266033,0.00929686,0.0266033,0.0108871,0.0260245,0.0109892,0.024911,0.0109892,0.0232186,0.0109892,0.0215263,0.0109892,0.019834,0.0109892,0.0181417,0.0109892,0.0164494,0.0109892,0.0147571,0.0109892,0.0130648,0.0109892,0.0113725,0.0109892,0.00968018,0.0109892,0.00798788,0.0109892,0.00629557,0.0109892,0.00460326,-0.0132108,0.00079275,-0.00881084,0.00079275,0.00878916,0.00079275,0.0131892,0.00079275
0.035,-0.0110108,0.00381038,-0.0110109,0.00550262,-0.0110109,0.00719486,-0.011011,0.0088871,-0.0110111,0.0105794,-0.0110111,0.0122716,-0.0110113,0.0139639,-0.0110114,0.0156561,-0.0110114,0.0173484,-0.0110115,0.0190407,-0.0110115,0.0207329,-0.0110114,0.0224252,-0.0110112,0.0241175,-0.010432,0.0257076,-0.0093185,0.0258094,-0.0076262,0.0258089,-0.00593389,0.0258084,-0.00424159,0.0258079,-0.00254929,0.0258076,-0.000856986,0.0258075,0.000835316,0.0258075,0.00252762,0.0258076,0.00421992,0.0258079,0.00591222,0.0258084,0.00760452,0.0258089,0.00929683,0.0258094,0.0108872,0.025231,0.0109895,0.0241175,0.0109897,0.0224252,0.0109898,0.0207329,0.0109898,0.0190407,0.0109898,0.0173484,0.0109897,0.0156561,0.0109896,0.0139639,0.0109895,0.0122716,0.0109894,0.0105794,0.0109893,0.0088871,0.0109892,0.00719486,0.0109892,0.00550262,0.0109892,0.00381038,-0.0132108,-1.22461e-16,-0.00881084,-1.22461e-16,0.00878916,-1.22461e-16,0.0131892,-1.22461e-16
0.04,-0.011016,0.0037605,-0.0110227,0.00544973,-0.011034,0.0071391,-0.0110484,0.00882859,-0.0110643,0.0105182,-0.0110802,0.012208,-0.0110943,0.013898,-0.0111051,0.0155882,-0.0111108,0.0172785,-0.0111097,0.018969,-0.0111002,0.0206597,-0.0110807,0.0223504,-0.0110496,0.0240411,-0.0104306,0.0256149,-0.00931483,0.0256853,-0.00762351,0.0256327,-0.00593214,0.0255819,-0.00424056,0.0255387,-0.00254873,0.0255075,-0.000856702,0.0254912,0.000835407,0.0254913,0.00252744,0.0255077,0.00421927,0.025539,0.00591084,0.0255822,0.00760222,0.0256329,0.00929355,0.0256852,0.0108988,0.0251509,0.0110279,0.024041,0.0110586,0.0223503,0.0110777,0.0206596,0.011087,0.0189689,0.011088,0.0172784,0.0110823,0.0155881,0.0110716,0.0138979,0.0110575,0.012208,0.0110419,0.0105182,0.0110261,0.00882852,0.0110119,0.00713902,0.0110008,0.00544966,0.0109942,0.00376044,-0.0132108,-1.22461e-16,-0.00881069,3.84065e-06,0.00878902,3.7197e-06,0.0131892,-1.22461e-16
0.045,-0.0110219,0.0037872,-0.0110311,0.0054774,-0.0110441,0.00716769,-0.0110593,0.00885806,-0.011075,0.0105485,-0.0110894,0.0122391,-0.0111011,0.0139298,-0.0111087,0.0156206,-0.0111108,0.0173116,-0.0111064,0.0190026,-0.0110945,0.0206937,-0.0110743,0.0223849,-0.0110453,0.024076,-0.0104313,0.0256521,-0.00931572,0.0257271,-0.00762403,0.0256833,-0.0059323,0.0256417,-0.00424042,0.0256065,-0.00254837,0.0255812,-0.000856191,0.0255681,0.000836042,0.0255681,0.00252822,0.0255814,0.00422027,0.0256068,0.00591215,0.025642,0.00760388,0.0256835,0.00929558,0.025727,0.0108989,0.0251863,0.0110248,0.0240758,0.0110533,0.0223847,0.0110731,0.0206935,0.0110846,0.0190024,0.0110887,0.0173114,0.0110864,0.0156204,0.0110788,0.0139296,0.011067,0.0122389,0.0110526,0.0105483,0.011037,0.00885788,0.0110219,0.00716751,0.0110089,0.00547723,0.0109999,0.00378702,-0.0132108,-1.22461e-16,-0.00881068,1.04227e-05,0.00878901,1.00739e-05,0.0131892,-1.22461e-16
